id,_original_order,center_x_5186,center_y_5186
842818,25715,334776.00000000093,239182.99999999977
842820,25716,334775.99999999965,238183.00000000023
843960,25842,335276.00000000035,279183.0000000005
844002,25849,335276.0000000013,258183.00000000081
844005,25850,335276.0000000003,256683.00000000047
844015,25853,335276.0000000001,251683.00000000032
844022,25855,335275.99999999965,248183.00000000017
845183,25985,335776.0000000008,278683.00000000006
845184,25986,335776.0000000009,278182.9999999996
845186,25987,335775.99999999965,277183.00000000006
845187,25988,335776.0000000004,276682.99999999994
845202,25991,335776.0,269183.00000000064
845227,25992,335776.00000000035,256683.00000000012
845240,25994,335776.0000000012,250182.99999999924
846405,26119,336276.00000000006,278683.0000000004
846406,26120,336276.00000000047,278183.0000000003
846421,26121,336276.00000000093,270683.0000000003
846425,26125,336276.00000000035,268683.0000000005
847626,26258,336776.0000000004,279183.0000000005
847694,26266,336776.0,245182.99999999948
847695,26267,336775.9999999999,244683.0000000004
848908,26389,337276.0000000002,249183.00000000006
848923,26394,337276.0000000008,241682.99999999968
850112,26512,337776.00000000035,258183.00000000047
850139,26517,337776.0,244683.0000000004
851333,26643,338276.00000000035,258683.00000000023
851364,26647,338275.9999999998,243182.9999999997
851365,26648,338275.9999999996,242683.0000000003
851366,26649,338275.9999999995,242182.99999999983
851367,26650,338276.0000000001,241683.00000000003
852513,26770,338776.00000000035,279683.00000000035
852515,26771,338776.00000000035,278683.0000000008
852551,26776,338776.0000000012,260683.0
852579,26780,338776.00000000023,246683.00000000017
853774,26905,339276.00000000064,260182.99999999988
853798,26910,339276.0000000001,248182.99999999983
853800,26911,339276.0000000001,247183.0000000003
854956,27046,339776.00000000023,280182.99999999936
854995,27048,339776.00000000023,260683.0
854996,27049,339775.99999999977,260182.99999999953
855018,27054,339776.00000000047,249183.00000000006
855019,27055,339776.0000000004,248682.99999999994
855024,27056,339776.0000000008,246183.00000000006
856215,27173,340276.00000000006,261683.00000000023
856241,27176,340276.00000000175,248682.99999999994
856242,27177,340276.00000000175,248182.99999999983
857402,27317,340776.0000000001,279183.0000000002
857442,27318,340775.9999999997,259183.0
857462,27322,340776.0000000003,249183.0000000004
857471,27324,340776.00000000035,244682.9999999997
858625,27455,341276.00000000035,278682.9999999997
858665,27456,341276.0,258683.00000000023
858694,27459,341276.0000000004,244183.0000000003
859905,27592,341776.0000000004,249683.00000000017
859909,27593,341776.0000000006,247683.00000000006
859917,27594,341775.99999999965,243683.00000000017
861069,27728,342275.99999999994,278683.0000000004
861139,27729,342275.99999999965,243683.00000000052
862297,27881,342776.0000000001,275682.9999999997
862361,27884,342776.00000000134,243683.00000000052
862364,27887,342775.9999999994,242183.00000000017
863515,28048,343276.00000000023,277683.0000000002
863519,28050,343276.00000000047,275682.9999999997
863520,28051,343276.0000000003,275182.99999999994
863556,28052,343276.0000000015,257183.00000000023
863570,28053,343276.0000000005,250182.9999999996
863571,28054,343276.00000000047,249683.00000000052
863586,28057,343276.00000000047,242182.99999999945
864716,28187,343775.99999999953,288182.9999999999
864742,28198,343775.9999999996,275183.0000000003
865938,28333,344275.99999999977,288182.9999999999
865948,28337,344275.9999999999,283183.0000000001
865958,28342,344276.0000000008,278183.0000000003
866028,28349,344275.99999999965,243182.9999999997
867156,28489,344775.9999999999,290183.0
867167,28492,344776.00000000006,284683.0000000001
867170,28495,344776.0000000001,283183.0000000001
867171,28496,344776.00000000035,282683.0
867184,28503,344776.0000000014,276183.0000000005
867212,28506,344776.00000000006,262183.00000000035
867213,28507,344776.0000000001,261682.99999999988
867240,28511,344776.0000000006,248182.99999999948
867250,28512,344776.0000000001,243182.9999999997
868384,28647,345275.9999999999,287183.00000000035
868392,28650,345276.00000000047,283182.99999999977
868407,28660,345276.00000000163,275683.0000000004
868460,28668,345276.00000000047,249183.0000000004
868461,28669,345276.00000000023,248682.99999999994
868487,28674,345275.9999999994,235683.0
869608,28828,345776.00000000105,286183.0000000001
869617,28829,345775.9999999999,281683.0000000001
869652,28842,345775.99999999994,264182.99999999977
869682,28851,345776.0000000012,249183.0000000004
869694,28855,345776.00000000006,243183.0000000004
869695,28856,345775.99999999994,242683.0000000003
869702,28860,345776.0000000001,239182.99999999977
869709,28861,345776.0000000003,235683.00000000035
870848,29005,346276.0000000002,277183.0000000004
870849,29006,346275.9999999999,276683.0000000003
870925,29021,346275.9999999994,238683.00000000038
870931,29023,346276.00000000035,235683.00000000035
872071,29168,346776.0000000015,276683.0000000003
872072,29169,346776.00000000105,276183.0000000005
872093,29172,346775.9999999999,265682.99999999977
872094,29173,346776.0000000006,265183.0
872105,29179,346776.0,259683.00000000047
872106,29180,346776.0,259183.0
872107,29181,346776.0000000001,258683.00000000058
872147,29193,346776.00000000023,238683.00000000076
872148,29194,346776.00000000093,238182.9999999999
873296,29344,347276.0000000001,275182.99999999994
873316,29345,347276.00000000023,265183.0
873317,29346,347276.00000000047,264683.00000000093
873329,29350,347276.0000000007,258683.00000000023
874484,29502,347775.9999999999,292183.0000000001
874514,29511,347776.00000000105,277183.00000000006
874518,29513,347775.9999999998,275182.99999999994
874529,29514,347776.0000000001,269683.00000000006
874538,29516,347775.99999999977,265183.00000000035
874540,29517,347776.0000000002,264183.00000000047
874553,29522,347776.0000000013,257682.99999999965
874598,29531,347776.00000000023,235183.00000000023
