sigungu_code,sido_name,sigungu_name,all_grid_count,target_grid_count,very_high_count,high_count,top_priority_count,priority_count,low_access_target_count,environment_caution_count,avg_risk_score,avg_infection_pressure,avg_access_score,estimated_minutes,required_person_days,required_field_workers,available_field_workers,field_worker_gap,required_drone_workers,available_drone_workers,drone_worker_gap,required_control_standby,available_control_workers,control_worker_gap
38112,경상남도,창원시 성산구,80,16,16,20,2,14,3,8,62.84,53.39,56.49,1200.0,3.33,1,0,-1,1,0,-1,1,0,-1
38113,경상남도,창원시 마산합포구,439,134,96,113,31,103,11,59,65.63,56.54,53.93,9710.0,26.97,6,0,-6,1,1,0,4,0,-4
38114,경상남도,창원시 마산회원구,103,12,10,13,3,9,1,6,56.59,55.13,57.94,825.0,2.29,1,0,-1,1,1,0,1,0,-1
38115,경상남도,창원시 진해구,84,2,2,8,0,2,0,0,49.69,54.65,53.57,110.0,0.31,1,0,-1,0,0,0,1,0,-1
38510,경상남도,의령군,200,12,5,19,1,11,1,8,48.23,56.77,55.2,945.0,2.62,1,0,-1,1,0,-1,1,0,-1
38520,경상남도,함안군,565,154,134,124,40,114,6,77,64.55,58.1,57.6,11025.0,30.62,7,0,-7,1,0,-1,5,1,-4
38530,경상남도,창녕군,548,84,49,84,19,65,3,37,55.25,65.84,56.36,5970.0,16.58,4,0,-4,1,1,0,2,1,-1
38540,경상남도,고성군,791,142,87,153,34,108,7,85,56.77,60.76,54.77,10365.0,28.79,6,1,-5,1,1,0,3,1,-2
38550,경상남도,남해군,365,59,42,69,13,46,1,35,57.15,54.08,58.32,3885.0,10.79,3,0,-3,1,0,-1,2,1,-1
38560,경상남도,하동군,751,268,206,179,81,187,25,118,66.93,63.02,57.22,19035.0,52.88,11,0,-11,2,0,-2,7,0,-7
38570,경상남도,산청군,70,2,1,4,0,2,0,0,45.78,54.03,58.05,130.0,0.36,1,3,2,0,1,1,1,0,-1
38580,경상남도,함양군,2,0,0,0,0,0,0,0,49.12,64.44,58.43,0.0,0.0,0,3,3,0,1,1,0,3,3
38590,경상남도,거창군,11,0,0,0,0,0,0,0,42.67,57.68,57.21,0.0,0.0,0,3,3,0,2,2,0,1,1
38600,경상남도,합천군,560,105,47,146,18,87,11,41,57.19,50.03,53.62,7960.0,22.11,5,1,-4,1,2,1,2,2,0
39010,제주특별자치도,제주시,146,14,14,19,2,12,4,0,56.37,66.07,61.03,980.0,2.72,1,0,-1,1,1,0,1,1,0
39020,제주특별자치도,서귀포시,295,106,132,58,34,72,21,23,74.99,65.5,51.45,8155.0,22.65,5,1,-4,2,0,-2,5,0,-5
