grid_id,sido_name,sigungu_code,sigungu_name,emd_code,emd_name,priority_grade,risk_grade,risk_score,access_score,estimated_minutes,unassigned_reason
363358,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.2415621898506,63.03080216726524,45.0,대기 현장요원 없음
375624,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.04176723639124,61.77740298955938,45.0,대기 현장요원 없음
360913,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.03185617389164,65.02964205150863,45.0,대기 현장요원 없음
375605,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.02170862784348,57.5278754859028,80.0,대기 현장요원 없음
362144,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,95.86385043377814,65.57006384739584,60.0,대기 현장요원 없음
379290,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.85473873210874,59.66485889901291,65.0,대기 현장요원 없음
362127,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.81755254004028,81.11181768544672,60.0,대기 현장요원 없음
368275,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.80903853609342,63.80542078367458,45.0,대기 현장요원 없음
343793,충청남도,34580,태안군,34580340,소원면,우선 예찰,매우 높음,95.7768778958147,64.80639511102743,45.0,대기 현장요원 없음
362136,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.72070140168624,64.07597140139472,45.0,대기 현장요원 없음
376844,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.65068720621748,58.41099580262183,80.0,대기 현장요원 없음
375623,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.53442149131624,61.32211630799125,60.0,대기 현장요원 없음
365813,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,95.46924852621838,62.32131534234121,60.0,대기 현장요원 없음
364609,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.45286114070102,63.16175084488012,60.0,대기 현장요원 없음
349908,충청남도,34580,태안군,34580330,근흥면,우선 예찰,매우 높음,95.45005206698752,64.41317076216717,45.0,대기 현장요원 없음
359700,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,95.4017751542185,75.2230323169916,45.0,대기 현장요원 없음
368259,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,95.37261897816413,61.3866718011792,60.0,대기 현장요원 없음
356028,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,95.36138045240143,67.7051079046395,45.0,대기 현장요원 없음
353567,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.358513184945,59.57877231406861,65.0,대기 현장요원 없음
369458,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.3348998905323,65.9045550958865,60.0,대기 현장요원 없음
374380,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.32639945291196,55.85746695644119,65.0,대기 현장요원 없음
356021,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.3227349089908,67.88114303601506,60.0,대기 현장요원 없음
358461,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.32083199554468,79.71207082582492,45.0,대기 현장요원 없음
359686,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,95.23302607185973,71.19204320387676,45.0,대기 현장요원 없음
364598,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,95.17381728573494,63.03054575728935,45.0,대기 현장요원 없음
378067,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.10229576780976,59.11306969976791,65.0,대기 현장요원 없음
378066,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.00653013376208,56.02090776159216,80.0,대기 현장요원 없음
367055,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,95.00025413958238,59.26583538097962,65.0,대기 현장요원 없음
365815,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.9915822744438,66.1393931694358,45.0,대기 현장요원 없음
360923,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.96472765384016,71.21964216197809,45.0,대기 현장요원 없음
358455,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,94.89175668292948,62.38933310141187,60.0,대기 현장요원 없음
374401,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,94.88168708254184,58.81652930834532,65.0,대기 현장요원 없음
365833,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,94.87370935060594,60.80217886440713,45.0,대기 현장요원 없음
365814,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.7632450028027,67.52752545205436,60.0,대기 현장요원 없음
340131,충청남도,34580,태안군,34580340,소원면,우선 예찰,매우 높음,94.66843202785157,65.75553535214542,45.0,대기 현장요원 없음
357254,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.63183011749425,73.96107619752243,45.0,대기 현장요원 없음
357253,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.5442071770598,71.79119580284936,45.0,대기 현장요원 없음
370713,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,94.54000529949376,55.26386672829926,80.0,대기 현장요원 없음
363373,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.51559850847208,61.22176946521744,60.0,대기 현장요원 없음
353574,충청남도,34580,태안군,34580330,근흥면,우선 예찰,매우 높음,94.4427806318042,66.10802444997061,45.0,대기 현장요원 없음
357247,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,94.41171082333926,68.81740346434734,45.0,대기 현장요원 없음
359699,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.34488913909884,72.43111325466839,45.0,대기 현장요원 없음
364613,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,94.34058269531818,55.43102725602319,80.0,대기 현장요원 없음
356032,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.31148796708332,72.3919414792673,45.0,대기 현장요원 없음
362153,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.28548754017751,70.96940723285758,45.0,대기 현장요원 없음
368269,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,94.23823540870498,53.29467824006515,65.0,대기 현장요원 없음
367036,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.22365103296438,62.91129667856606,60.0,대기 현장요원 없음
363376,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.21122699087036,66.41066759902829,45.0,대기 현장요원 없음
353588,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.1992615639568,62.4302454374106,45.0,대기 현장요원 없음
354794,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,94.1888240706818,72.09223142012372,60.0,대기 현장요원 없음
358459,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,94.14417649333043,68.36428199681703,45.0,대기 현장요원 없음
356011,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,94.09878852011302,70.25816591099738,60.0,대기 현장요원 없음
348682,충청남도,34580,태안군,34580330,근흥면,우선 예찰,매우 높음,94.08621798345418,66.80750837339221,45.0,대기 현장요원 없음
367035,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.07264505487238,60.01838067128149,60.0,대기 현장요원 없음
356031,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,94.0640347010666,70.76940454712839,60.0,대기 현장요원 없음
353565,충청남도,34580,태안군,34580350,원북면,우선 예찰,매우 높음,94.01184565267012,61.01553099959996,45.0,대기 현장요원 없음
360920,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,93.99392783345311,64.04429223314875,60.0,대기 현장요원 없음
